,count,mean,std,min,25%,50%,75%,max
case,248701.0,-0.38462255488414104,0.5286867436445171,-2.7642595774510736,-0.7413180721467034,-0.3855993494142938,-0.027031077424707232,1.8127287811309405
control,248744.0,0.14937881526246755,0.5292352848621393,-2.0837835397448705,-0.20652646996341945,0.15014465823233308,0.504900139371769,2.525218548408767
