"GENE_ID","ADJ_PVAL"
"ENSG00000282796",0
"ENSG00000198836",4.39243793853366e-263
"ENSG00000198130",1.55994171273724e-249
"ENSG00000121769",2.20075823308753e-236
"ENSG00000273045",2.62078876643152e-209
"ENSG00000213816",1.25938615746244e-194
